Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,30 Jan 2025,4,Alhan Khan,"Good Comfort,But Sole is Not That Great if there is any Sharp Thing on Surface it will easily Enter & damage Your foot"
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,11 Aug 2024,5,Jayant Kumar,"Nice one, size perfectly fit to my daughter, using as a school shoes, product quality and look is really good, worth for this price."
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,26 Sept 2024,5,Guru,Really appreciate it... Very nice product. I 💯% happy to get it 
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,18 Apr 2025,5,Ritika Katariya,Fit was nice Good product value for money must try came  in a proper package with all the necessary components without any thing missing or misplaced 
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,1 Sept 2025,5,Aditya Sharma,
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,16 Aug 2024,3,Myntra Customer,Good but not that much good ok
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,20 Nov 2024,5,Vishesh,"Best quality product at this price range.
Highly recommend.
But there was a size issue so I exchanged the size."
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,28 Sept 2024,4,Ezung,"Comfortable 💯. Light weight 💯 
Go for it guys... I swear u won't regret buying it..."
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,18 Sept 2025,5,Devi,Is this the most comfortable shoe I ever own and wore.  I love it and I might buy more colours in it. Don't think just go for it 
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,8 June 2024,5,Umesh Mahajan,Comfortable and very nice product 
